missionId,missionLaunchDate,missionOrigin,missionDuration (in months),missionType,missionDescription,employmentRequirements,age,minimum years of experience,qualifications,occupations,minimum computer skills required,language required,secondary language,cargo for?,cargo required,quantity required (for each)
7003,30/09/2022,Austria,31,infrastructure,"Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec",builder,24-50,5yr,MIT,general practitioner,advanced,english,,mission,"concrete, desserts, water",51
7006,28/10/2022,Austria,29,"railways, town planning","nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit",designer,18-32,10yr,BE,manufacturer,expert,english,"hausa, bengali, telugu",journey,chicken,391
7009,08/09/2025,United Kingdom,88,roads,turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit,builder,24-50,5yr,ME,painter,intermediate,english,"punjabi, mandarin, french",journey,soups,57
7012,01/02/2023,Austria,56,"roads, architecture","pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet",nurse,24-50,9yr,ME,designer,advanced,english,javanese,journeyAndMission,"soups, pies",217
7015,26/04/2021,United States,84,town planning,"dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla",general practitioner,24-50,4yr,MBS,surgeon,advanced,english,,journeyAndMission,"desserts, cereals, sandwiches, surgical",24
7018,22/07/2024,United States,95,,mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non,designer,18-50,1yr,MBBS,surgeon,expert,english,arabic,journeyAndMission,"concrete, pasta",153
7021,19/07/2025,Austria,86,,"et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer",nurse,24-50,1yr,BE,electrician,advanced,english,,journey,desserts,471
7024,25/05/2023,United Kingdom,37,agriculture,"blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada",builder,24-50,2yr,MS,nurse,advanced,english,"bengali, hausa",journey,"pasta, surgical",114
7027,02/07/2024,Austria,52,town planning,"non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan interdum libero dui",designer,18-32,7yr,MBS,electrician,advanced,english,"greek, russian",mission,,481
7030,26/12/2023,United Kingdom,34,railways,"Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci",painter,24-50,8yr,BE,surgeon,advanced,english,"russian, arabic",journeyAndMission,,277
7033,08/04/2022,India,48,"town planning, prison",orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque,electrician,24-50,3yr,ME,carpenter,intermediate,english,,journey,seafood,436
7036,17/02/2021,Canada,65,railways,Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis,electrician,24-45,10yr,MBS,electrician,advanced,english,,journeyAndMission,"cereals, stews",339
7039,08/07/2021,Russian Federation,70,infrastructure,"ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat",general practitioner,18-50,5yr,MBS,electrician,expert,english,"portugese, russian, punjabi",journeyAndMission,,42
7042,08/04/2025,Austria,89,,massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat,surgeon,24-45,9yr,ME,nurse,advanced,english,,journeyAndMission,surgical,116
7045,21/12/2022,United Kingdom,30,"prison, infrastructure","congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui,",civil engineer,24-50,5yr,ME,carpenter,advanced,english,"hausa, mandarin, italian",mission,"pies, noodles",436
7048,26/03/2024,Canada,34,roads,"Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique",,24-45,5yr,MS,nurse,advanced,english,,journeyAndMission,"stews, concrete",455
7051,07/12/2023,Australia,62,,tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed,painter,24-45,7yr,ME,builder,advanced,english,"bengali, greek, french",journey,,485
7054,14/03/2023,Austria,52,,"nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis",electrician,18-50,4yr,MBS,designer,expert,english,,journeyAndMission,"seeds, surgical, soups, wood",427
7057,24/09/2025,Austria,83,"town planning, architecture","Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in",manufacturer,24-50,6yr,BE,,advanced,english,javanese,journeyAndMission,"cereals, surgical, pasta, noodles",478
7060,12/11/2022,New Zealand,52,"railways, architecture","est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc",designer,18-50,8yr,ME,civil engineer,expert,english,,journeyAndMission,"noodles, desserts",154
7063,07/07/2025,India,94,town planning,"varius et, euismod et, commodo at, libero. Morbi accumsan laoreet",builder,18-32,4yr,MBBS,electrician,expert,english,"javanese, arabic, telugu",journey,"soups, seafood, chicken, water",332
7066,03/10/2025,Canada,88,"architecture, railways",a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis,painter,18-50,3yr,MBBS,designer,advanced,english,mandarin,journeyAndMission,sandwiches,239
7069,07/04/2025,Canada,73,,"porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum",manufacturer,18-32,4yr,ME,manufacturer,expert,english,french,journey,"wood, surgical",356
7072,02/12/2025,Australia,97,roads,"cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit,",manufacturer,24-50,5yr,BDS,electrician,expert,english,,journeyAndMission,"soups, seafood, seeds",333
7075,14/04/2025,United Kingdom,95,"roads, town planning","sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis",electrician,18-32,8yr,MS,,intermediate,english,"hausa, hindi",journey,,239
7078,03/05/2024,New Zealand,54,"architecture, infrastructure","et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam",general practitioner,24-50,4yr,MS,designer,intermediate,english,"punjabi, bengali",mission,pork,83
7081,23/02/2023,United States,60,infrastructure,"In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu",nurse,24-50,4yr,MS,,advanced,english,,journey,"desserts, pies, sandwiches, seeds",128
7084,02/08/2025,United States,51,,"elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel",designer,18-32,3yr,MBBS,general practitioner,advanced,english,mandarin,journeyAndMission,"noodles, wood",297
7087,04/09/2023,United Kingdom,60,architecture,"ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus.",builder,18-50,4yr,MS,,intermediate,english,"javanese, mandarin",mission,"concrete, seafood",127
7090,01/11/2023,Austria,91,agriculture,"aliquet nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce",painter,18-32,4yr,MBS,,expert,english,,journeyAndMission,"pies, water, pasta, seeds",176
7093,29/08/2023,Russian Federation,85,"infrastructure, railways","nibh dolor, nonummy ac, feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a,",general practitioner,24-50,1yr,BDS,,advanced,english,"persian, mandarin",journeyAndMission,"sandwiches, stews, concrete, seafood",489
7096,02/06/2021,United States,63,"railways, town planning","sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo",manufacturer,24-45,9yr,MIT,,advanced,english,arabic,journey,"chicken, cereals, noodles",154
7099,26/05/2025,United Kingdom,95,"infrastructure, prison",velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus.,designer,24-45,2yr,MS,carpenter,intermediate,english,hindi,mission,"seeds, salads",487
7102,06/12/2020,Australia,31,architecture,"vitae, aliquet nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit eget",painter,24-45,2yr,BDS,civil engineer,intermediate,english,"hausa, mandarin",mission,"stews, surgical, cereals",59
